"Person H-ID"	"Person Record Title"	"Family name"	"Given name(s)"	"Alternate name(s) / title(s)"	Gender	"Short description"	Note	"Index reference"	"CartulR Entity ID"	IndexFontenay	"Related Person(s)"	Honorific	"Cause of death"	"Person type"	"Person role"	"Birth date"	"Birth date (temporal)"	"Country of birth"	"Death date"	"Death date (temporal)"	"Country of death"	"Place of death"	"Place of death Record Title"	"Place of death H-ID"	"Place of death Record Title"	"Cause of death"	"date from"	"date from (temporal)"	"date to"	"date to (temporal)"
81671	"Chasselièvre (Adam)"	"Chasselièvre (Adam)"				chevalier		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184712																						
81676	"Pierre Albert"	"Pierre Albert"				"chevalier du roi, juge de Sault et de Limoux"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135208																						
81677	"Chastelain (Jean)"	"Chastelain (Jean)"				"prévôt de Melun"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184830																						
81678	"Chatard de Ravel"	"Chatard de Ravel"				"damoiseau, seigneur du lieu"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184848																						
81680	Châteauneuf-les-Bains	Châteauneuf-les-Bains		Châteauneuf-en-Auvergne		"auj. et"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e185104																						
81687	"Albert Ier"	"Albert Ier"		Albert		"comte-abbé de Saint-Quentin (Albert Ier, comte de Vermandois)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135229																						
81688	"Chatmar (Me Raimond)"	"Chatmar (Me Raimond)"				"substitut du procureur du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186456																						
81689	"Chauchat (Géraud)"	"Chauchat (Géraud)"				"bourgeois, de Clermont, panetier du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186498																						
81690	"Chauchat (Jean)"	"Chauchat (Jean)"				"bourgeois de Clermont, valet du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186529																						
81692	"Chaumel (Pierre)"	"Chaumel (Pierre)"				"maire de Neuilly-sur-Margival"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186572																						
81693	"Chausardi (Bertrand)"	"Chausardi (Bertrand)"				"recteur de Tourreilles"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186750																						
81694	"Chauvel (Geoffroi)"	"Chauvel (Geoffroi)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186807																						
81695	"Chauvel (Geoffroi)"	"Chauvel (Geoffroi)"				"valet du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186830																						
81696	"Chauvelet (Geoffroi)"	"Chauvelet (Geoffroi)"				"échanson du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186853																						
81699	"Chauvet (Me Jean)"	"Chauvet (Me Jean)"				"de La Foye-Monjault"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186910																						
81700	"Chauvet (Me Jean)"	"Chauvet (Me Jean)"				"procureur du roi, dans la sénéchaussée de Périgord et Quercy"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186925																						
81706	"Chemin (Élie)"	"Chemin (Élie)"				"chevalier du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187167																						
81708	"Chenin (Guillaume)"	"Chenin (Guillaume)"				"seigneur de Ersia et de La Barde"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187254																						
81711	"Cherité (G.)"	"Cherité (G.)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187446																						
81715	"Chevrier (Barthélemi)"	"Chevrier (Barthélemi)"				"bourgeois de Lyon, échanson du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187707																						
81716	"Chevrier (Gui)"	"Chevrier (Gui)"				"chevalier du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187722																						
81718	"Spina di Chiarito"	"Spina di Chiarito"				"de Florence, demeurant à Melun"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187821																						
81719	"Chibout (Thierri)"	"Chibout (Thierri)"				"de Laon"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187836																						
81720	"Biche Guidi"	"Biche Guidi"		"Biche Guy|Albizzo (ser)"				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135402																						
81721	"Chicho (Jean)"	"Chicho (Jean)"				"crieur des bans d'Orléans"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187851																						
81722	"Chiflat ou de Chiflat (Girard)"	"Chiflat ou de Chiflat (Girard)"				"de Beaufort-du-Jura"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187910																						
81723	"Chipot (Girard)"	"Chipot (Girard)"				"chanoine de Notre-Dame-de-Troyes"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188087																						
81724	Chlo	Chlo				"fils du seigneur"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188166																						
81725	"Choeri (Dani)"	"Choeri (Dani)"				"juif de Belvèze"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188181																						
81726	"Choisel (Jean)"	"Choisel (Jean)"				"chevalier du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188212																						
81728	"Cholet (Jean)"	"Cholet (Jean)"				cardinal		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188354																						
81729	"Chrestian (Guilhem)"	"Chrestian (Guilhem)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188385																						
81730	"Chrétien (Adam)"	"Chrétien (Adam)"				"de Nemours, sa fille"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188400																						
81732	"Chrétien de Roquefort"	"Chrétien de Roquefort"				"notaire public de Carcassonne"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188415																						
81733	"Ciampolo da Siena (héritiers de feu)"	"Ciampolo da Siena (héritiers de feu)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188497																						
81736	"Cigongneau (Geoffroi)"	"Cigongneau (Geoffroi)"				écuyer		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188575																						
81739	Clarissius	Clarissius				"trésorier de Rodez"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188860																						
81742	"Aldric de Prinhaco"	"Aldric de Prinhaco"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135504																						
81743	Clémence	Clémence				"femme de Guillaume le Boiteux, bourgeoise royale de Paris"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188952																						
81744	Clémence	Clémence				"femme de Pierre le Pelletier"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188973																						
81745	"Clémence de Jagny"	"Clémence de Jagny"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188997																						
81746	"Clémence de Rouen"	"Clémence de Rouen"				"femme de Colard le Baillif"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189012																						
81747	"Clémence d'Oiselay"	"Clémence d'Oiselay"				"veuve d'Hugues de Cicon"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189027																						
81748	Clemens	Clemens				signature	"Clément, chapelain et clerc de Pierre VI de Chambly"	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189042																						
81749	"Clément IV"	"Clément IV"				pape		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189057																						
81750	"Clément V"	"Clément V"				pape		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189072																						
81751	Clément	Clément				"chapelain et clerc de Pierre VI de Chambly"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189173																						
81752	"Clément de Choisy-au-Bac"	"Clément de Choisy-au-Bac"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189184																						
81753	Adam	Adam				"vicomte de Melun"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132552																						
81754	"A l'Écureuil (Jean)"	"A l'Écureuil (Jean)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135519																						
81755	"Clément de Fraissé"	"Clément de Fraissé"				"docteur ès lois"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189202																						
81756	"Clément de Fraissé"	"Clément de Fraissé"				"fils et héritier testamentaire du précédent"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189241																						
81757	"Clément de La Mare"	"Clément de La Mare"				"prêtre, chapelain de l'oratoire du manoir de Blosseville"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189256																						
81758	"Clément d'Orly (le fils de)"	"Clément d'Orly (le fils de)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189271																						
81759	"Clergue (Raimond)"	"Clergue (Raimond)"				"dit aussi de Martiel, notaire de Villefranche-de-Rouergue, de Villeneuve-d'Aveyron et de toute la sénéchaussée de Rouergue"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189302																						
81764	"Clersens (Jean)"	"Clersens (Jean)"				"clerc du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189791																						
81765	"Pierre Alègre"	"Pierre Alègre"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135534																						
81767	Clovis	Clovis				"roi des Francs, ses armes"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189975																						
81769	"Cocatrix (Gentien"	"Cocatrix (Gentien"				"corr. Gencien)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e190137																						
81770	"Cocatrix (Geoffroi"	"Cocatrix (Geoffroi"				"Gaufridus), bourgeois de Paris, familier du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e190152																						
81771	"Cocatrix (Renier)"	"Cocatrix (Renier)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e190335																						
81773	"Cochet (Jean)"	"Cochet (Jean)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e190398																						
81775	"Coeuret (Robert)"	"Coeuret (Robert)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e190484																						
81776	"Salomon Alègre"	"Salomon Alègre"				"juif de Toulouse"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135549																						
81777	"Coffin (Jean)"	"Coffin (Jean)"				"le jeune"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e190520																						
81778	"Coffini (Johannes)"	"Coffini (Johannes)"				"de Andeliaco, junior"	"Jean Coffin le jeune, des Andelys"	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e190532																						
81780	"Cointet (Gui)"	"Cointet (Gui)"				"de Livry, clerc du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e190669																						
81781	"Coiquet (Philippe)"	"Coiquet (Philippe)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e190993																						
81782	"Colard de Bellême"	"Colard de Bellême"				"écuyer, valet du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191052																						
81783	"Colard de Denestanville"	"Colard de Denestanville"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191068																						
81784	"Colard de Laon (Me)"	"Colard de Laon (Me)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191086																						
81785	"Colard de Smors"	"Colard de Smors"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191112																						
81786	"Colard de Somme-Vesle"	"Colard de Somme-Vesle"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191127																						
81787	"Guigues Aleman"	"Guigues Aleman"				"seigneur de Valbonnais, chevalier"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135568																						
81788	"Colard de Tayri"	"Colard de Tayri"				damoiseau		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191142																						
81790	"Colin de La Grange"	"Colin de La Grange"				écuyer		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191202																						
81791	"Colin de Lhuître"	"Colin de Lhuître"				"sergent à verge du Châtelet de Paris"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191217																						
81792	"Cologne (Mathieu)"	"Cologne (Mathieu)"				"sa veuve"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191387																						
81793	"Colomb (Guilhem)"	"Colomb (Guilhem)"				"notaire public royal"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191418																						
81794	"Colombel (Jean)"	"Colombel (Jean)"				"bourgeois de Rouen"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191433																						
81796	"Colonna (Pietro)"	"Colonna (Pietro)"				"chevalier du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191507																						
81797	"Columi (Raimond)"	"Columi (Raimond)"				"consul de Gignac"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e191567																						
81798	"Alexandre de Jouarre"	"Alexandre de Jouarre"				clerc		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135954																						
81806	"Comtor de Bouziès (dame)"	"Comtor de Bouziès (dame)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e192568																						
81809	"Alexandre de Tournus"	"Alexandre de Tournus"				"bourgeois de Mâcon"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135969																						
81811	"Conrad de Crépy (Me)"	"Conrad de Crépy (Me)"				"chanoine de Beauvais, clerc du roi, député sur le fait des juifs dans la sénéchaussée de Beaucaire"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193013																						
81812	"Constance de Béarn"	"Constance de Béarn"				"vicomtesse de Marsan"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193028																						
81813	"Constans (Raimond)"	"Constans (Raimond)"				"notaire public royal dans la sénéchaussée de Périgord et Quercy"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193043																						
81814	"Constant (Roger)"	"Constant (Roger)"				"de Béthemont"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193058																						
81819	"Coppet (Jean)"	"Coppet (Jean)"				"prévôt de Tournai"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193557																						
81820	"Alexandre d'Odemghem (Me)"	"Alexandre d'Odemghem (Me)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135985																						
81821	"Coquatricis (G.)"	"Coquatricis (G.)"				"Coquatrix, Coquatriz (G.)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193572																						
81823	Coquelet	Coquelet				"Coquelot (Gilon), veneur du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193599																						
81824	"Coqui (Me Mathieu)"	"Coqui (Me Mathieu)"				"notaire de l'évêque de Maguelonne"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193632																						
81825	"Coquille (Guillaume)"	"Coquille (Guillaume)"				"bourgeois de Nevers"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193647																						
81826	Coquillet	Coquillet				"valet de la reine de Navarre"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193662																						
81827	"Coraus (Pierre)"	"Coraus (Pierre)"				"chàtelain royal de Tours"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e193689																						
81829	"Corbon (Thomas)"	"Corbon (Thomas)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e194062																						
81831	"Bonet Alfaric"	"Bonet Alfaric"				"bourgeois du Bourg de Narbonne"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136011																						
81832	Cornet	Cornet				"d'Orphin, sa fille"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e194290																						
81834	"Cornoli (Pierre)"	"Cornoli (Pierre)"				"consul du château de Peyrusse-le-Roc"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e194353																						
81839	"Corsdomme (Richard)"	"Corsdomme (Richard)"				"vicomte de Verneuil-sur-Avre"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e194589																						
81841	"Cosset (Mathieu fils)"	"Cosset (Mathieu fils)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e194714																						
81842	"Alfaric (G.)"	"Alfaric (G.)"				chevalier		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136026																						
81843	"Costard (Henri)"	"Costard (Henri)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e194725																						
81844	"Coste (Me Raimond)"	"Coste (Me Raimond)"				"juge de Carcassonne"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e194755																						
81845	"Cotelier (Me Jean)"	"Cotelier (Me Jean)"				"notaire de Béziers"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e194783																						
81851	"Coulon (Jean)"	"Coulon (Jean)"				"sa veuve"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e195481																						
81852	"Coul-Rouge (Pierre)"	"Coul-Rouge (Pierre)"				"bourgeois de Chartres"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e195511																						
81853	"Alice de Boussagues"	"Alice de Boussagues"		Alice		"femme de Bérenger IV Guilhem (Alice de Boussagues)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136056|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136229																						
81854	"Couqueiet (Guillaume)"	"Couqueiet (Guillaume)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e195542																						
81859	"Cours (Alaudes)"	"Cours (Alaudes)"				"procureur de Niccolò Guidi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e196157																						
81860	"Court (Me Raimond)"	"Court (Me Raimond)"				"légiste, régissant la jugerie de Verdun-sur-Garonne"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e196237																						
81861	"Courteheuse (Guillaume)"	"Courteheuse (Guillaume)"				"Guillelmus Courtehause, chevalier du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e196283																						
81864	"Adam de Béthisy"	"Adam de Béthisy"				"sergent à verge du Châtelet de Paris"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132593																						
81865	Alice	Alice				"femme de Clair Bridoul"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136072																						
81867	"Crasse joue (Jeannet)"	"Crasse joue (Jeannet)"				"crieur du Roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e197203																						
81870	"Crémat (Pierre)"	"Crémat (Pierre)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e197600																						
81876	Alice	Alice				"femme de Guillaume Mauvoisin"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136087																						
81877	"Crespin (Baude ou Baudouin) le vieux"	"Crespin (Baude ou Baudouin) le vieux"				d'Arras		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e197982																						
81878	"Crespin (Baude ou Baudouin) le vieux"	"Crespin (Baude ou Baudouin) le vieux"				"d'Arras, valet du roi"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e197994																						
81879	"Crespin (Guillaume VI)"	"Crespin (Guillaume VI)"				"chevalier du roi, seigneur d'Étrépagny"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e198065																						
81881	"Cribert (Bernard)"	"Cribert (Bernard)"				"de Pavie"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e198225																						
81882	Crépy	Crépy		Crépy-en-Valois|Crispeio		"magister Johannes de)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e198269																						
81883	"Crispeus de Barville (Me)"	"Crispeus de Barville (Me)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e198281																						
81884	Croissant	Croissant				"fils de feu Josson de Coulommiers, juif"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e198341																						
81885	"Croissant d'Orange"	"Croissant d'Orange"				"juif de Carcassonne"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e198367																						
81887	Alice	Alice				"femme de Jacques Gencien"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136102																						
81891	"Cucu (Élie)"	"Cucu (Élie)"				"père du suivant"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e198854																						
81898	Alice	Alice				"femme de Jean Turgot"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136120																						
81899	"Daffem (Guilhem)"	"Daffem (Guilhem)"				"clerc de Figeac, tabellion apostolique du diocèse de Cahors"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199421																						
81900	"Dagra (Bertrand)"	"Dagra (Bertrand)"				"moine du prieuré de Fons"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199436																						
81901	"Dalard (Pierre)"	"Dalard (Pierre)"				"vicomte d'Orbec"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199451																						
81903	"Dalmas de Pontons"	"Dalmas de Pontons"				"docteur ès lois, surintendant des affaires des juifs dans la ville et baronnie de Montpellier"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199485																						
81904	"Damas (Amé)"	"Damas (Amé)"				"seigneur de Couzan"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199500																						
81906	"Damjeau (Raoulin)"	"Damjeau (Raoulin)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199563																						
81909	Alice	Alice				"femme de Richard l'Anglais"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136135																						
81913	"Dandolo (Giovanni)"	"Dandolo (Giovanni)"				"doge de Venise"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199854																						
81914	"Dandolo (Giovanni Cane)"	"Dandolo (Giovanni Cane)"				"ambassadeur de Venise"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199875																						
81915	"Dani de Mauguio"	"Dani de Mauguio"				juif		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199934																						
81916	"Daniel d'Itancourt"	"Daniel d'Itancourt"					"de Saint-Quentin"	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199949																						
81917	Danois	Danois				"Le Danois (Geoffroi), bailli de Gisors"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e199964																						
81918	"Dany (Simon)"	"Dany (Simon)"					"juif de Mantes"	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e200007																						
81919	"Daudet (Jean)"	"Daudet (Jean)"				"de Montréal"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e200067																						
81920	Alice	Alice				"femme d'Ives Grosseteste"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136150																						
81921	"Dauffard (Guiot"	"Dauffard (Guiot"				"Robin et Martin, fils de feu Guérin), de Reims"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e200082																						
81922	"Dauphin (Gui"	"Dauphin (Gui"				Hugues)		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e200128																						
81923	Dauphine	Dauphine				"femme de Raimond Pelet"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e200139																						
81924	Dauridier	Dauridier					Raimond	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e200182																						
81925	"Davin d'Agde"	"Davin d'Agde"				"juif de Montpellier"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e200225																						
81926	"Davin de Viviers (héritiers de)"	"Davin de Viviers (héritiers de)"						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e200251																						
